,train_data,test_data,n_neighbors,weights,metric,mean_absolute_error,std_dev_distance_error,mean_squared_error,percentile_25,percentile_50,percentile_75,percentile_90,percentile_95,min,max
57,full_raw_data,summarized_mean_data,4,distance,euclidean,1.8596883878762895,1.325250136015496,5.14447730609064,1.0084875821155812,2.0,2.4538153796310915,3.3140396806822077,3.9831341211214175,0.01144960766669989,5.5197271476615235
58,summarized_mean_data,full_raw_data,4,distance,euclidean,2.4866669560441927,1.886841371957958,9.740122742851327,0.7843102178251098,2.406058048260165,3.1525108942509315,4.85711605041441,5.929371837013754,0.0019434883965914196,9.11974547664078
59,summarized_mean_data,summarized_mean_data,4,distance,euclidean,2.2212084379852195,1.621262838534741,7.457120388925914,1.2905887988885425,2.0996575469876646,2.7567836999470687,4.435236004159632,4.663137507727599,0.01772945852646668,6.376672463482979
60,full_raw_data,full_raw_data,4,distance,manhattan,2.3337620713308427,1.339360736169714,7.238538699993906,1.5811388300841898,2.0,3.0239178348172766,4.0,4.943302655608186,0.008794617725444098,8.960998439937594
61,full_raw_data,summarized_mean_data,4,distance,manhattan,2.0073165178328547,1.147624056543667,5.293678938916049,1.0864282068534976,2.0,2.164278770816489,3.0462788688525,3.8615260359171253,0.004198010643452932,5.488048185197801
62,summarized_mean_data,full_raw_data,4,distance,manhattan,2.5316528545980512,1.885971676803425,9.962598452733477,0.8430795375817515,2.385968297001858,3.181114769959896,4.95522387552084,5.839169217951154,0.00011294206856860001,8.842015570003309
63,summarized_mean_data,summarized_mean_data,4,distance,manhattan,2.189910596714154,1.6564627457086554,7.429822496404776,1.3893365402061058,2.1507058396480545,2.7205479124400966,4.4897924557853806,5.3681694299325695,0.008362547376405516,6.231757848872888
64,full_raw_data,full_raw_data,5,uniform,euclidean,2.36271250465196,1.3220883245453705,7.328579999999999,1.5811388300841898,2.0,3.1999999999999993,4.0,4.800000000000001,0.0,9.2
65,full_raw_data,summarized_mean_data,5,uniform,euclidean,1.9050875489694292,1.3787983259744896,5.4544,1.1999999999999993,2.0,2.8,3.4400000000000004,4.2399999999999975,0.0,5.199999999999999
66,summarized_mean_data,full_raw_data,5,uniform,euclidean,2.843086131656985,1.8866851429977578,11.63916,1.2000000000000002,2.6832815729997477,3.6000000000000014,6.0,6.019999999999982,0.0,10.8
67,summarized_mean_data,summarized_mean_data,5,uniform,euclidean,2.7308737879583993,1.9416295653398503,11.076799999999999,1.1999999999999993,2.284731931759172,3.6000000000000014,4.28048773235279,5.679999999999995,0.8000000000000007,9.2
68,full_raw_data,full_raw_data,5,uniform,manhattan,2.3088990120313646,1.3441026613338893,7.13582,1.5811388300841898,2.0,2.8000000000000007,4.0,4.800000000000001,0.0,8.8
69,full_raw_data,summarized_mean_data,5,uniform,manhattan,1.896215525968752,1.251152251874184,5.098399999999999,0.8944271909999165,2.0,2.529822128134704,3.0400000000000005,4.159999999999997,0.0,5.199999999999999
70,summarized_mean_data,full_raw_data,5,uniform,manhattan,2.919091874360836,1.925234831961729,12.22392,1.2000000000000002,2.6832815729997477,3.6000000000000014,6.0,6.0,0.8000000000000007,9.600000000000001
71,summarized_mean_data,summarized_mean_data,5,uniform,manhattan,2.707602056151738,1.95066524590621,10.983999999999998,1.1999999999999993,2.0,3.6000000000000014,4.28048773235279,5.679999999999995,0.8000000000000007,9.2
72,full_raw_data,full_raw_data,5,distance,euclidean,2.3617162042853357,1.318441188677612,7.314252310417548,1.5811388300841898,2.0,3.1860783478863928,4.0000000000000036,4.816927526883245,0.0016171053050300088,9.204335014360595
73,full_raw_data,summarized_mean_data,5,distance,euclidean,1.905756057473211,1.3676659645475497,5.427595933554344,1.200735046684084,2.0,2.711029224565059,3.3700293017895495,4.259601618175848,0.004242975057039189,5.237063005109974
74,summarized_mean_data,full_raw_data,5,distance,euclidean,2.6347007080059974,1.76530671240507,10.054839301840842,1.1451606206601992,2.338778047957244,3.59528015994547,5.5492176007324305,5.827431123070897,0.035755168724190156,9.854124934731285
75,summarized_mean_data,summarized_mean_data,5,distance,euclidean,2.4262033529041274,1.7273375724993787,8.750809995436558,1.088306631397316,2.146572059807404,3.5444880938904966,3.848992930437549,5.266688636192453,0.5312440509880236,7.738596030757542
76,full_raw_data,full_raw_data,5,distance,manhattan,2.3084420929754716,1.3424933038617164,7.129390879263609,1.581138830084188,2.0,2.9844398991813383,4.0000000000000036,4.769076794900023,0.011464590847101164,8.777311185122358
77,full_raw_data,summarized_mean_data,5,distance,manhattan,1.903084274087141,1.2453090162837999,5.110492518473997,0.9190598583852676,2.0,2.429938016757239,3.0580116377563797,4.185411576791845,0.1656073516672265,5.211288149297015
78,summarized_mean_data,full_raw_data,5,distance,manhattan,2.6849325601317555,1.7726516368123704,10.34801438412374,1.1968654923510014,2.429452113372951,3.6141251177153784,5.538796732699757,5.885517624864889,0.02645448502158132,8.386563518819237
79,summarized_mean_data,summarized_mean_data,5,distance,manhattan,2.3822060331810433,1.738925824349912,8.57781408621154,0.958490205600246,1.8953293805555356,3.40733303563092,3.9295725851971968,5.340375998277352,0.56225574954303,7.6847384497915066
