,filename,x,y,floor,sample_id,mac_address,signal_strength
301,"point(27,10).json",13.5,5.0,2,3,00:15:f9:6c:7d:21,-86
302,"point(27,10).json",13.5,5.0,2,3,00:11:21:6c:4e:71,-82
303,"point(27,10).json",13.5,5.0,2,3,00:15:f9:6c:7a:d1,-84
304,"point(27,10).json",13.5,5.0,2,3,00:11:21:6c:4e:70,-80
305,"point(27,10).json",13.5,5.0,2,3,00:11:21:6c:50:e2,-87
306,"point(27,10).json",13.5,5.0,2,3,00:11:21:6c:50:e0,-89
307,"altPoint(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7d:71,-54
308,"altPoint(27,10).json",13.5,5.0,2,6,00:11:21:6c:4e:72,-77
309,"altPoint(27,10).json",13.5,5.0,2,6,00:11:21:6c:4e:71,-76
310,"altPoint(27,10).json",13.5,5.0,2,6,00:11:21:6c:4e:70,-78
311,"altPoint(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7d:70,-55
312,"altPoint(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7d:72,-55
313,"altPoint(27,10).json",13.5,5.0,2,6,00:12:da:9e:32:31,-56
314,"altPoint(27,10).json",13.5,5.0,2,6,00:12:da:9e:32:30,-55
315,"altPoint(27,10).json",13.5,5.0,2,6,00:12:da:9e:32:32,-55
316,"altPoint(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7a:e0,-81
317,"altPoint(27,10).json",13.5,5.0,2,6,00:11:21:66:75:81,-80
318,"altPoint(27,10).json",13.5,5.0,2,6,00:11:21:66:75:82,-80
319,"altPoint(27,10).json",13.5,5.0,2,6,00:11:21:66:75:80,-80
320,"altPoint(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7a:e1,-81
321,"altPoint(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7a:e2,-82
322,"altPoint(27,10).json",13.5,5.0,2,6,00:11:21:6c:50:e1,-88
323,"altPoint(27,10).json",13.5,5.0,2,6,00:11:21:6c:50:e2,-87
324,"altPoint(27,10).json",13.5,5.0,2,6,00:11:21:6c:50:e0,-87
325,"altPoint(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7a:d1,-87
326,"altPoint(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7a:d2,-83
327,"altPoint(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7a:d0,-82
328,"altPoint(27,10).json",13.5,5.0,2,6,00:15:f9:6c:7d:22,-87
329,"altPoint(27,10).json",13.5,5.0,2,15,00:15:f9:6c:7d:71,-50
330,"altPoint(27,10).json",13.5,5.0,2,15,00:11:21:6c:4e:72,-79
331,"altPoint(27,10).json",13.5,5.0,2,15,00:11:21:6c:4e:71,-79
